start in 3
11 -> 15 110
11 -> 16 163
11 -> 17 315
11 -> 18 43
12 -> 0 297
12 -> 1 15
12 -> 2 28
12 -> 3 79
12 -> 4 237
12 -> 5 142
12 -> 6 209
12 -> 7 91
12 -> 8 314
12 -> 9 177
12 -> 10 268
12 -> 11 236
12 -> 13 54
12 -> 14 31
12 -> 15 113
12 -> 16 354
12 -> 17 189
12 -> 18 19
13 -> 0 223
13 -> 1 134
13 -> 2 257
13 -> 3 358
13 -> 4 357
13 -> 5 302
13 -> 6 193
13 -> 7 212
13 -> 8 343
13 -> 9 359
13 -> 10 242
13 -> 11 9
13 -> 12 41
13 -> 14 262
13 -> 15 168
13 -> 16 120
13 -> 17 325
13 -> 18 243
14 -> 0 186
14 -> 1 2
14 -> 2 275
14 -> 3 284
14 -> 4 328
14 -> 5 316
14 -> 6 229
14 -> 7 27
14 -> 8 338
14 -> 9 95
14 -> 10 347
14 -> 11 253
14 -> 12 155
14 -> 13 360
14 -> 15 133
14 -> 16 282
14 -> 17 231
14 -> 18 239
15 -> 0 146
15 -> 1 122
15 -> 2 175
15 -> 3 280
15 -> 4 292
15 -> 5 170
15 -> 6 350
15 -> 7 36
15 -> 8 206
15 -> 9 20
15 -> 10 26
15 -> 11 173
15 -> 12 326
15 -> 13 303
15 -> 14 225
15 -> 16 244
15 -> 17 154
15 -> 18 8
16 -> 0 152
16 -> 1 44
16 -> 2 331
16 -> 3 50
16 -> 4 94
16 -> 5 230
16 -> 6 210
16 -> 7 256
16 -> 8 318
16 -> 9 291
16 -> 10 235
16 -> 11 30
16 -> 12 76
16 -> 13 85
16 -> 14 197
16 -> 15 277
16 -> 17 12
16 -> 18 341
17 -> 0 140
17 -> 1 355
17 -> 2 74
17 -> 3 335
17 -> 4 259
17 -> 5 353
17 -> 6 285
17 -> 7 82
17 -> 8 125
17 -> 9 161
17 -> 10 39
17 -> 11 14
17 -> 12 153
17 -> 13 108
17 -> 14 187
17 -> 15 311
17 -> 16 199
17 -> 18 182
18 -> 0 201
18 -> 1 105
18 -> 2 250
18 -> 3 51
18 -> 4 129
18 -> 5 107
18 -> 6 234
18 -> 7 219
18 -> 8 118
18 -> 9 346
18 -> 10 174
18 -> 11 48
18 -> 12 287
18 -> 13 84
18 -> 14 135
18 -> 15 90
18 -> 16 116
18 -> 17 351
